15172890, u'OkStateLibrary',8.36232E+17, u'Brighten up your #MondayMorning with something fresh from Cafe Libro!',0,0
15172890, u'OkStateLibrary',8.36284E+17, u'Library internships are open &amp; ready for applicants. Check out the listings to see if you could be our next intern. https://t.co/62xX6F3nPr',0,0
15172890, u'OkStateLibrary',8.36328E+17," u""If you'll be staying late at the Lib  you need the right study spot. @OkstateLibrary offers a variety of options.""",0,0
15172890, u'OkStateLibrary',8.36616E+17, u'Get recognized for your innovative mind! Enter projects for a chance to win $1000 in the Library Creativity Award! https://t.co/Jf2sNiSu1A',0,0
15172890, u'OkStateLibrary',8.3732E+17, u'For Read Across America Day  come visit your favorite library and check out our fiction section for a good read.',0,0
15172890, u'OkStateLibrary',8.37351E+17, u'The E-Comm intern writes publication materials  monitors online presence &amp; collaborates on promotions. Apply at https://t.co/62xX6F3nPr',0,0
15172890, u'OkStateLibrary',8.37406E+17, u'#NoonConcert is in one week! Our amazing @OKStateMusic students will perform Trumpet Ensembles &amp; Piano Solos in the Browsing Room!',0,0
15172890, u'OkStateLibrary',8.37713E+17, u'We offer select textbooks for 2hr checkout in Room 105. Search for your book before the next big exam. https://t.co/pSlCMcQtbM',0,0
15172890, u'OkStateLibrary',8.37751E+17," u""If you've created something neat this year  enter it for a chance to win $1 000 in the Library Creativity Award. https://t.co/Jf2sNiSu1A""",0,0
15172890, u'OkStateLibrary',8.39527E+17," u""Honor #InternationalWomensDay by delving into our Oklahoma Women's Hall of Fame Oral History Project. https://t.co/FbMfYaKBNK""",0,0
15172890, u'OkStateLibrary',8.3953E+17," u""Tomorrow's #NoonConcert will feature Trumpet Ensembles and Piano Solos. Bring your friends and your lunch. You won't want to miss it!""",0,0
15172890, u'OkStateLibrary',8.39544E+17, u'Library Creativity Award apps are open. Enter your creative project by April 10 for a chance to win $1000. https://t.co/Jf2sNiSu1A',0,0
15172890, u'OkStateLibrary',8.39872E+17, u'See you in the Browsing Room for #NoonConcert! @OKStateMusic students will be performing Trumpet Ensembles &amp; Piano Solos!',0,0
15172890, u'OkStateLibrary',8.39893E+17, u'The Event Comm intern works on event planning  logistics  social media content and event calendars. Apply today! https://t.co/62xX6F3nPr',0,0
